ID;Name;Abk.;Region;Name (Abk.)
46469;1. CfR Pforzheim;CFRP;B-W;1. CfR Pforzheim (CFRP)
24374;EC Eppelheim;ECEPP;B-W;EC Eppelheim (ECEPP)
31729;Eis-Sport-Club Ravensburg e.V.;ESCRA;B-W;Eis-Sport-Club Ravensburg e.V. (ESCRA)
39683;Eiskunstlauf Senden e.V.;EKLS;B-W;Eiskunstlauf Senden e.V. (EKLS)
29532;Eislaufverein Ulm / Neu-Ulm e.V.;ELVU;B-W;Eislaufverein Ulm / Neu-Ulm e.V. (ELVU)
47595;Eissportclub Herrischried e.V.;ESCHER;B-W;Eissportclub Herrischried e.V. (ESCHER)
24361;Eissportgemeinschaft Freiburg e.V.;ESGF;B-W;Eissportgemeinschaft Freiburg e.V. (ESGF)
33434;Eissportverein Senden e.V.;EVSE;B-W;Eissportverein Senden e.V. (EVSE)
34623;EKV Balingen e.V.;EKVB;B-W;EKV Balingen e.V. (EKVB)
24395;ERC Göppingen e.V.;ERCGP;B-W;ERC Göppingen e.V. (ERCGP)
24406;ERC Waldbronn e.V.;ERCWA;B-W;ERC Waldbronn e.V. (ERCWA)
46675;ESC Hügelsheim 09 e.V.;ESHÜ;B-W;ESC Hügelsheim 09 e.V. (ESHÜ)
24383;ESG Esslingen e.V.;ESGE;B-W;ESG Esslingen e.V. (ESGE)
29464;EV Hotzenwald-Herrischried e.V.;EVH;B-W;EV Hotzenwald-Herrischried e.V. (EVH)
24902;Freiburger RSC e. V.;FRSC;B-W;Freiburger RSC e. V. (FRSC)
24451;Konstanzer REC e.V.;KREC;B-W;Konstanzer REC e.V. (KREC)
24458;Mannheimer ERC e.V.;MERC;B-W;Mannheimer ERC e.V. (MERC)
24467;REV Heilbronn von 1934 e.V.;REVH;B-W;REV Heilbronn von 1934 e.V. (REVH)
24485;SERC 04 Schwenningen e.V.;SERCS;B-W;SERC 04 Schwenningen e.V. (SERCS)
24478;Stuttgarter ERC 1911 e.V.;SERC;B-W;Stuttgarter ERC 1911 e.V. (SERC)
24486;TEC Waldau Stuttgart e.V.;TECW;B-W;TEC Waldau Stuttgart e.V. (TECW)
28136;TSG Reutlingen 1843 e.V.;TSGR;B-W;TSG Reutlingen 1843 e.V. (TSGR)
27933;tus Stuttgart Eissport e.V.;TUSST;B-W;tus Stuttgart Eissport e.V. (TUSST)
38270;TV Unterboihingen e.V.;TVU;B-W;TV Unterboihingen e.V. (TVU)
24439;1. EV Weiden e.V.;EVWEI;BAY;1. EV Weiden e.V. (EVWEI)
28763;Bad Wörishofer EKV e.V.;BADW;BAY;Bad Wörishofer EKV e.V. (BADW)
31808;Bayreuther Turnerschaft 1861 e.V.;BAYTS;BAY;Bayreuther Turnerschaft 1861 e.V. (BAYTS)
24364;DEC Inzell e.V.;DECI;BAY;DEC Inzell e.V. (DECI)
34085;Deggendorfer Schlittschuh-Club e.V.;DEGSC;BAY;Deggendorfer Schlittschuh-Club e.V. (DEGSC)
27975;DJK-SV Ost Memmingen e.V.;DJKM;BAY;DJK-SV Ost Memmingen e.V. (DJKM)
24380;EC Oberstdorf e.V.;ECO;BAY;EC Oberstdorf e.V. (ECO)
24381;EC Pfaffenhofen e.V.;ECPFA;BAY;EC Pfaffenhofen e.V. (ECPFA)
48026;EC Pirouette München;ECPM;BAY;EC Pirouette München (ECPM)
26469;EHC Klostersee Grafing e.V.;EHCK;BAY;EHC Klostersee Grafing e.V. (EHCK)
